Departure ICAO,Departure Time,Arrival ICAO,Arrival Time,Duration
GMMX,16:25z,LFPG,19:55z,3:30
LFPG,13:15z,LHBP,15:25z,2:10
LFPG,14:00z,LHBP,16:10z,2:10
LHBP,16:25z,LFPG,18:50z,2:25
LHBP,17:10z,LFPG,19:35z,2:25
LFPG,08:20z,LEMD,10:30z,2:10
LEMD,11:35z,LFPG,13:45z,2:10
LFPG,14:20z,LIRF,16:25z,2:05
LIRF,17:25z,LFPG,19:40z,2:15
LFPG,17:05z,LIML,18:35z,1:30
LIML,19:35z,LFPG,21:10z,1:35
LFPG,14:00z,EGBB,15:20z,1:20
EGBB,16:15z,LFPG,17:35z,1:20
LFPG,08:50z,EFKT,12:35z,3:45
EFKT,13:45z,LFPG,17:40z,3:55
LFPG,12:25z,LIMC,13:55z,1:30
LIMC,14:55z,LFPG,16:25z,1:30
LFPG,07:10z,EHAM,08:35z,1:25
EHAM,09:35z,LFPG,11:00z,1:25
LFPG,15:10z,LSGG,16:20z,1:10
LSGG,17:15z,LFPG,18:35z,1:20
LFPG,08:20z,LEBL,10:10z,1:50
LEBL,11:15z,LFPG,13:20z,2:05
LFPG,21:20z,LTFM,00:50z,3:30
LTFM,01:50z,LFPG,05:35z,3:45
LFPG,08:30z,LHBP,10:40z,2:10
LHBP,11:40z,LFPG,14:05z,2:25
LFPG,19:55z,LEMD,22:05z,2:10
LEMD,05:00z,LFPG,07:20z,2:20
LFPG,16:40z,LIRF,18:45z,2:05
LIRF,19:45z,LFPG,21:55z,2:10
LFPG,08:50z,LIML,10:15z,1:25
LIML,11:20z,LFPG,12:55z,1:35
LFPG,06:30z,EDDM,08:05z,1:35
EDDM,09:05z,LFPG,10:50z,1:45
LFPG,08:15z,LIPZ,10:00z,1:45
LIPZ,11:00z,LFPG,12:55z,1:55
LFPG,13:00z,LIPE,14:45z,1:45
LIPE,15:40z,LFPG,17:30z,1:50
LFPG,06:00z,EDDB,07:50z,1:50
EDDB,08:50z,LFPG,10:45z,1:55
LFPG,17:10z,EHAM,18:35z,1:25
EHAM,19:35z,LFPG,20:55z,1:20
LFPG,12:00z,LSGG,13:10z,1:10
LSGG,14:05z,LFPG,15:20z,1:15
LFPG,20:05z,LEBL,21:55z,1:50
LEBL,05:00z,LFPG,07:00z,2:00
LFPG,11:55z,GMME,14:50z,2:55
GMME,15:55z,LFPG,19:00z,3:05
LFPG,17:15z,GMMN,20:25z,3:10
LFPG,17:20z,GMMN,20:30z,3:10
LFPG,17:15z,GMMN,21:25z,4:10
GMMN,04:55z,LFPG,08:10z,3:15
LFPG,09:15z,EHAM,10:40z,1:25
EHAM,11:40z,LFPG,13:05z,1:25
LFPG,12:10z,LIRF,14:15z,2:05
LIRF,15:20z,LFPG,17:30z,2:10
LFPG,09:50z,EFRO,13:25z,3:35
EFRO,14:30z,LFPG,18:20z,3:50
LFPG,08:15z,LPPR,10:30z,2:15
LPPR,11:25z,LFPG,13:45z,2:20
LFPG,14:30z,DAOO,17:05z,2:35
DAOO,18:25z,LFPG,21:10z,2:45
LFPG,08:20z,LGAV,11:35z,3:15
LGAV,12:35z,LFPG,16:10z,3:35
LFPG,16:20z,EDDB,18:05z,1:45
EDDB,19:05z,LFPG,20:55z,1:50
LFPG,06:00z,LSGG,07:10z,1:10
LSGG,08:05z,LFPG,09:20z,1:15
LFPG,14:20z,LEBL,16:05z,1:45
LEBL,17:05z,LFPG,19:05z,2:00
LFPG,06:50z,DAAG,09:10z,2:20
DAAG,10:30z,LFPG,13:05z,2:35
LFPG,19:55z,EGBB,21:15z,1:20
EGBB,06:00z,LFPG,07:25z,1:25
LFPG,11:30z,GMMN,14:35z,3:05
LFPG,11:30z,GMMN,15:35z,4:05
GMMN,16:40z,LFPG,18:55z,2:15
GMMN,15:40z,LFPG,18:55z,3:15
LFPG,12:10z,LEMD,14:20z,2:10
LEMD,15:25z,LFPG,17:35z,2:10
LFPG,11:10z,LSZH,12:25z,1:15
LFPG,11:40z,LSZH,12:55z,1:15
LSZH,13:20z,LFPG,14:40z,1:20
LSZH,13:50z,LFPG,15:10z,1:20
EDDM,14:30z,LFPG,16:15z,1:45
LFPG,12:30z,LPPT,15:10z,2:40
LPPT,16:10z,LFPG,18:50z,2:40
LFPG,16:20z,LIMC,17:50z,1:30
LIMC,18:50z,LFPG,20:20z,1:30
LFPG,07:30z,LSGG,08:40z,1:10
LSGG,09:35z,LFPG,10:50z,1:15
LFPG,11:15z,LEBL,13:00z,1:45
LEBL,14:05z,LFPG,16:05z,2:00
LFPG,12:25z,EHAM,13:50z,1:25
EHAM,14:50z,LFPG,16:10z,1:20
LFPG,10:20z,LYBE,12:35z,2:15
LYBE,13:25z,LFPG,15:55z,2:30
LFPG,18:25z,LHBP,20:40z,2:15
LFPG,17:25z,LHBP,19:40z,2:15
LHBP,05:20z,LFPG,07:45z,2:25
LFPG,12:00z,EDDH,13:40z,1:40
EDDH,14:40z,LFPG,16:15z,1:35
LFPG,06:00z,EIDW,07:50z,1:50
EIDW,08:55z,LFPG,10:45z,1:50
LFPG,12:15z,LIPZ,13:55z,1:40
